"Country","Year","Value","Destination"
"CRI",1984,NA,"pop 17"
"CIV",1984,9560000,"pop 17"
"HRV",1984,4669587,"pop 17"
"CYP",1984,540000,"pop 17"
"CZE",1984,10330000,"pop 17"
"DNK",1984,5112000,"pop 17"
"DJI",1984,NA,"pop 17"
"DMA",1984,NA,"pop 17"
"DOM",1984,5967000,"pop 17"
"ECU",1984,9143000,"pop 17"
"EGY",1984,45237000,"pop 17"
"SLV",1984,5143000,"pop 17"
"GNQ",1984,294000,"pop 17"
"ERI",1984,NA,"pop 17"
"EST",1984,1519000,"pop 17"
"ETH",1984,39780000,"pop 17"
"FJI",1984,698000,"pop 17"
"GIN",1984,NA,"pop 17"
"FIN",1984,4894000,"pop 17"
"FRA",1984,54895000,"pop 17"
"GAB",1984,816000,"pop 17"
"GMB",1984,700000,"pop 17"
"GEO",1984,NA,"pop 17"
"DEU",1984,76365000,"pop 17"
"GHA",1984,12296000,"pop 17"
"GRC",1984,9893000,"pop 17"
"GRD",1984,98000,"pop 17"
"GTM",1984,7073000,"pop 17"
"GNB",1984,823000,"pop 17"
"GUY",1984,713000,"pop 17"
"HTI",1984,6365000,"pop 17"
"HND",1984,4154000,"pop 17"
"HKG",1984,5431000,"pop 17"
"HUN",1984,10641000,"pop 17"
"ISL",1984,241000,"pop 17"
"IND",1984,743000000,"pop 17"
"IDN",1984,159502000,"pop 17"
"IRN",1984,45960000,"pop 17"
"IRQ",1984,NA,"pop 17"
"IRL",1984,3529000,"pop 17"
"ISR",1984,4017000,"pop 17"
"ITA",1984,56565000,"pop 17"
"JAM",1984,2234000,"pop 17"
"JPN",1984,120016000,"pop 17"
"JOR",1984,2599000,"pop 17"
"KAZ",1984,NA,"pop 17"
"KEN",1984,19662000,"pop 17"
"KIR",1984,63000,"pop 17"
"KOR",1984,40406000,"pop 17"
"UVK",1984,NA,"pop 17"
"KWT",1984,1600000,"pop 17"
"KGZ",1984,NA,"pop 17"
"LAO",1984,3557000,"pop 17"
"LVA",1984,2562000,"pop 17"
"LBN",1984,2640000,"pop 17"
"KHM",1983,NA,"pop 17"
"CMR",1983,9590000,"pop 17"
"CAN",1983,25336000,"pop 17"
"CPV",1983,285000,"pop 17"
"CAF",1983,2500000,"pop 17"
"TCD",1983,4751000,"pop 17"
"CHL",1983,11731000,"pop 17"
"CHN",1983,1030080000,"pop 17"
"COM",1983,371000,"pop 17"
"COD",1983,32871000,"pop 17"
"COG",1983,1750000,"pop 17"
"CRI",1983,NA,"pop 17"
"CIV",1983,9300000,"pop 17"
"HRV",1983,4646921,"pop 17"
"CYP",1983,533000,"pop 17"
"CZE",1983,10324000,"pop 17"
"DNK",1983,5116000,"pop 17"
"DJI",1983,NA,"pop 17"
"DMA",1983,NA,"pop 17"
"DOM",1983,5827000,"pop 17"
"ECU",1983,8900000,"pop 17"
"EGY",1983,44015000,"pop 17"
"SLV",1983,5112000,"pop 17"
"GNQ",1983,272000,"pop 17"
"ERI",1983,NA,"pop 17"
"EST",1983,1509000,"pop 17"
"ETH",1983,38514000,"pop 17"
"FJI",1983,683000,"pop 17"
"GIN",1983,NA,"pop 17"
"FIN",1983,4870000,"pop 17"
"FRA",1983,54650000,"pop 17"
"GAB",1983,799000,"pop 17"
"GMB",1983,673000,"pop 17"
"GEO",1983,NA,"pop 17"
"DEU",1983,76675000,"pop 17"
"GHA",1983,11681000,"pop 17"
"GRC",1983,9848000,"pop 17"
"GRD",1983,96000,"pop 17"
"GTM",1983,6896000,"pop 17"
"GNB",1983,806000,"pop 17"
"GUY",1983,713000,"pop 17"
"HTI",1983,6252000,"pop 17"
"HND",1983,4029000,"pop 17"
"HKG",1983,5350000,"pop 17"
"HUN",1983,10672000,"pop 17"
"ISL",1983,238000,"pop 17"
"IND",1983,727000000,"pop 17"
"IDN",1983,156410000,"pop 17"
"IRN",1983,44180000,"pop 17"
"IRQ",1983,NA,"pop 17"
"IRL",1983,3504000,"pop 17"
"ISR",1983,3951000,"pop 17"
"ITA",1983,56563000,"pop 17"
"JAM",1983,2229000,"pop 17"
"JPN",1983,119233000,"pop 17"
"JOR",1983,2502000,"pop 17"
"KAZ",1983,NA,"pop 17"
"KEN",1983,18984000,"pop 17"
"KIR",1983,62000,"pop 17"
"KOR",1983,39910000,"pop 17"
"UVK",1983,NA,"pop 17"
"KWT",1983,1566000,"pop 17"
"KGZ",1983,NA,"pop 17"
"LAO",1983,3463000,"pop 17"
"LVA",1983,2546000,"pop 17"
"LBN",1983,2640000,"pop 17"
"LSO",1983,1300000,"pop 17"
"LBR",1983,NA,"pop 17"
"LBY",1983,3470000,"pop 17"
"LTU",1983,3485000,"pop 17"
"LUX",1983,366000,"pop 17"
"MKD",1983,1816000,"pop 17"
